,Year,Artist,Track,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Time_Signature,Track_Popularity,Top
16,2000,Five For Fighting,America Town,0.382,0.416,0,-9.303,1,0.0302,0.0733,0,0.0719,0.125,102.089,221693,4,66,0
17,2001,Bob Dylan,Love And Theft,0.537,0.724,0,-7.505,1,0.0281,0.227,2.25E-05,0.114,0.697,79.583,321093,4,40,0
18,2003,Thompson Twins,Platinum & Gold Collection,0.822,0.962,7,-5.29,0,0.0492,0.076,0.00729,0.351,0.965,131.443,191467,4,39,0
19,2001,Barbra Streisand,Christmas Memories,0.238,0.334,8,-10.941,1,0.0313,0.917,0.000119,0.0398,0.136,85.288,252093,3,37,0
20,2002,Keith Urban,Golden Road,0.656,0.792,2,-6.65,1,0.039,0.171,0.0016,0.0357,0.885,119.791,255747,4,40,0
21,2000,M.O.P.,Warriorz,0.68,0.894,1,-4.86,1,0.255,0.0206,0,0.462,0.803,94.089,247693,4,58,0
22,2001,Jadakiss,Kiss Tha Game Goodbye,0.79,0.88,0,-6.414,0,0.384,0.113,0,0.29,0.605,101.944,207540,4,35,0
23,2002,Joe Hisaishi,The Tokyo Concert,0.326,0.101,0,-21.534,1,0.0385,0.949,0.882,0.0403,0.0891,143.289,292093,4,54,0
24,2003,My Morning Jacket,It Still Moves (Deluxe Reissue),0.242,0.838,5,-6.052,1,0.061,0.106,0.0852,0.713,0.418,118.185,355853,4,34,0
25,2002,Interpol,Turn On The Bright Lights: The Tenth Anniversary Edition (Remastered),0.267,0.967,4,-4.852,0,0.0609,3.00E-05,0.702,0.0911,0.266,145.543,215520,4,38,0
26,2003,Sheryl Crow,The Very Best Of,0.715,0.711,4,-5.656,1,0.0434,0.0557,0,0.12,0.679,119.973,291867,4,38,0
27,2002,The Black Keys,The Big Come Up,0.52,0.82,2,-6.023,0,0.145,0.136,0.00813,0.325,0.495,120.883,153987,4,47,0
28,2003,Various Artists,Mullets Rock!,0.487,0.905,11,-7.001,0,0.102,0.00535,0.00218,0.0647,0.685,117.417,237960,4,37,0
29,2001,Alex Ubago,Que pides tu? (con bonus track para Argentina),0.583,0.527,7,-7.998,1,0.0273,0.473,0,0.117,0.457,105.413,273293,4,57,0
30,2001,Harry Gregson-Williams,Shrek (Original Motion Picture Score),0.0984,0.182,8,-18.739,1,0.0349,0.648,0.197,0.513,0.103,86.706,86693,3,55,0
31,2000,Dispatch,Who Are We Living for?,0.684,0.312,2,-13.727,1,0.0386,0.781,0.533,0.121,0.547,170.225,191533,4,38,0
32,2001,Travis,The Invisible Band,0.455,0.849,7,-5.461,0,0.0284,0.000493,1.52E-05,0.466,0.533,90.955,239240,4,56,0
33,2000,Queens of the Stone Age,Rated R,0.305,0.495,10,-5.116,1,0.0428,0.45,0.577,0.258,0.443,70.831,520173,4,38,0
34,2001,Los Acosta,Volando En Una Nave Triste,0.799,0.739,2,-6.452,0,0.0245,0.246,0.0168,0.273,0.961,102.071,196373,4,51,0
35,2002,Theory of a Deadman,Theory of a Deadman [Special Edition],0.537,0.925,6,-4.755,1,0.0818,6.27E-05,3.08E-06,0.305,0.585,142.065,161893,4,35,0
36,2001,Alison Krauss & Union Station,New Favorite,0.434,0.359,10,-11.278,1,0.032,0.831,0.000102,0.115,0.739,168.826,190467,4,44,0
37,2003,The Outlaws,Platinum & Gold Collection,0.167,0.948,9,-4.73,0,0.16,0.121,0.0112,0.852,0.158,157.81,346933,4,40,0
38,2002,India.Arie,Voyage To India - Special Edition,0.655,0.465,9,-10.252,0,0.233,0.29,8.94E-06,0.098,0.268,95.876,209853,4,45,0
39,2001,Nickelback,Silver Side Up,0.478,0.85,9,-6.195,1,0.0705,0.00213,1.76E-05,0.0306,0.667,172.251,234427,4,39,0
40,2003,Sean Hayes,Alabama Chicken,0.758,0.565,6,-10.127,1,0.045,0.758,9.05E-06,0.126,0.781,113.595,294587,4,39,0
41,2001,Los Bukis,Y Para Siempre ...,0.692,0.345,11,-18.031,0,0.0323,0.0233,0,0.0641,0.588,95.212,305933,3,40,0
42,2003,Kid Rock,Kid Rock,0.634,0.892,7,-5.213,1,0.102,0.0111,1.09E-05,0.673,0.679,117.306,192293,4,41,0
43,2002,Atreyu,Suicide Notes And Butterfly Kisses,0.274,0.809,8,-7.146,1,0.0818,0.00024,0.0206,0.281,0.207,168.48,304613,4,46,0
44,2001,Aesop Rock,Labor Days,0.629,0.592,8,-8.741,0,0.476,0.552,0.00791,0.131,0.883,79.727,152827,4,40,0
45,2000,Whitney Houston,Whitney The Greatest Hits,0.77,0.474,7,-9.582,1,0.169,0.0484,2.66E-06,0.061,0.445,82.505,259827,4,40,0
46,2003,50 Cent,Get Rich Or Die Tryin,0.908,0.67,6,-3.947,0,0.346,0.353,0,0.0872,0.801,90.016,193467,4,43,0
47,2002,Nirvana,Nirvana,0.519,0.815,4,-6.349,0,0.0354,0.000105,0.00261,0.0993,0.497,119.944,219040,4,37,0
48,2001,Clint Black,Greatest Hits II,0.507,0.411,10,-8.657,1,0.0276,0.308,0,0.106,0.184,102.806,268960,3,54,0
49,2003,Phil Collins,Brother Bear,0.391,0.704,9,-8.258,1,0.0401,0.0849,4.98E-06,0.11,0.389,158.258,240467,3,45,0
50,2003,Mark Ronson,Here Comes The Fuzz,0.727,0.961,4,-3.761,0,0.098,0.0278,7.85E-06,0.334,0.8,105.031,209627,4,50,0
51,2001,2Pac,Until The End Of Time,0.844,0.811,9,-5.459,0,0.0438,0.185,0,0.0824,0.783,105.326,252000,4,37,0
52,2000,Bonobo,Animal Magic,0.551,0.328,10,-16.384,1,0.0345,0.78,0.928,0.111,0.0396,152.003,279933,4,42,0
53,2001,Damian Marley,Halfway Tree,0.7,0.731,4,-5.064,0,0.273,0.0271,0,0.765,0.51,81.348,361067,4,49,0
54,2000,Mirwais,Production (Deluxe Version),0.708,0.644,0,-5.991,0,0.0462,0.00713,0.754,0.0506,0.578,104.985,218107,4,43,0
55,2001,Dropkick Murphys,"Sing Loud, Sing Proud",0.126,0.915,7,-3.157,1,0.0634,0.000121,0,0.565,0.493,189.052,205613,3,41,0
56,2001,Blake Shelton,Blake Shelton,0.605,0.609,7,-7.063,1,0.0278,0.188,0,0.0982,0.275,119.914,230333,4,60,0
57,2001,Los Originales De San Juan,El Jardinero (14 Corridazos Para El Pueblo),0.744,0.787,5,-6.842,1,0.0403,0.155,0,0.0962,0.915,115.452,188667,4,45,0
58,2002,India.Arie,Voyage To India - Special Edition,0.655,0.465,9,-10.252,0,0.233,0.29,8.94E-06,0.098,0.268,95.876,209853,4,45,0
59,2003,Various Artists,The Lord Of The Rings - The Return Of The King - The Complete Recordings (Limited Edition),0.144,0.0307,7,-30.109,1,0.0372,0.949,0.82,0.0898,0.0358,93.727,178427,3,44,0
60,2001,Usher,8701,0.816,0.5,1,-4.551,1,0.03,0.0227,1.53E-06,0.0733,0.649,124.037,247840,4,70,0
61,2002,Blackalicious,Blazing Arrow,0.712,0.747,10,-9.149,1,0.404,0.257,1.61E-05,0.607,0.851,185.127,159960,4,38,0
62,2002,Martin O'Donnell,Halo: Original Soundtrack,0.655,0.235,9,-12.506,1,0.0323,0.778,0.984,0.116,0.677,146.996,95000,3,34,0
63,2003,Lionel Richie,The Definitive Collection,0.339,0.291,1,-9.841,1,0.0326,0.451,2.83E-06,0.0921,0.198,137.385,200413,4,35,0
64,2000,St Germain,Tourist [Remastered] (Remastered Version),0.677,0.959,8,-10.251,1,0.0514,0.488,0.633,0.102,0.909,121.993,354716,4,46,0
65,2001,Grupo Romance,Porque Te Amo,0.561,0.804,7,-5.459,1,0.0347,0.198,0,0.0749,0.535,73.01,193253,4,37,0
66,2000,QB Finest,Nas & Ill Will Records Presents Queensbridge the album,0.64,0.721,7,-6.955,1,0.322,0.0564,0.000842,0.774,0.714,93.346,297907,4,47,0
67,2002,Thirty Seconds To Mars,30 Seconds To Mars,0.597,0.732,2,-7.607,1,0.0373,0.00588,0.0155,0.135,0.0765,115.075,349747,4,40,0
68,2003,Kings of Leon,Youth And Young Manhood,0.692,0.727,11,-5.019,0,0.0413,0.0108,1.36E-05,0.187,0.879,122.619,165507,4,40,0
69,2000,Various Artists,Coyote Ugly,0.586,0.679,0,-6.697,1,0.043,0.654,0.000331,0.0743,0.608,79.921,201093,4,44,0
70,2000,John Coltrane,The Very Best Of John Coltrane,0.62,0.203,8,-15.599,0,0.0341,0.798,0.501,0.0649,0.27,116.8,487280,4,37,0
71,2001,Jennifer Lopez,J.Lo,0.784,0.836,4,-5.134,0,0.0896,0.00292,1.77E-06,0.426,0.661,97.524,221227,4,40,0
72,2003,Original Soundtrack,House Of 1000 Corpses,0.58,0.874,5,-5.415,0,0.0354,0.000165,0.893,0.106,0.423,112.997,223573,4,33,0
73,2002,Nine Inch Nails,Still,0.574,0.427,11,-11.68,1,0.0254,0.611,0.948,0.117,0.221,140.031,374893,1,36,0
74,2002,The Band,The Last Waltz,0.229,0.533,9,-8.26,1,0.0674,0.615,0.0252,0.711,0.348,65.524,234067,4,39,0
75,2001,Radiohead,I Might Be Wrong,0.374,0.483,5,-8.821,1,0.0367,0.455,0.00298,0.689,0.0639,113.565,304920,5,50,0
76,2000,Disturbed,The Sickness,0.68,0.846,8,-5.252,1,0.054,0.000753,2.35E-05,0.144,0.926,89.962,277853,4,52,0
77,2000,UB40,The Very Best Of,0.637,0.837,2,-8.605,1,0.0363,0.0393,0.00294,0.142,0.825,172.455,208097,4,49,0
78,2002,Breaking Benjamin,Saturate,0.465,0.9,8,-5.721,1,0.0489,0.00176,0.0108,0.111,0.509,148.109,215840,4,38,0
79,2003,Various Artists,Freestyle's Best Extended Versions Volumes 1 & 2,0.807,0.699,10,-9.27,0,0.0517,0.0122,0.626,0.061,0.859,115.231,372333,4,34,0
80,2001,Nas,Stillmatic,0.573,0.831,7,-5.586,1,0.433,0.0401,0,0.0909,0.766,76.352,277707,4,53,0
81,2002,Something Corporate,Leaving Through The Window,0.489,0.751,11,-5.894,1,0.0333,0.00316,0,0.0788,0.531,102.14,229427,4,34,0
82,2000,A Perfect Circle,Mer De Noms,0.518,0.743,9,-8.247,1,0.0373,0.00383,0.0069,0.078,0.211,144.024,219640,3,58,0
83,2003,Stars,Heart,0.563,0.88,0,-5.275,1,0.0249,0.00988,2.68E-05,0.446,0.86,101.976,243147,4,37,0
84,2002,B2K,Pandemonium!,0.834,0.685,1,-5.862,0,0.226,0.0998,0,0.0514,0.877,95.509,278573,4,57,0
85,2002,People Under The Stairs,Acid Raindrops,0.885,0.551,1,-9.794,1,0.24,0.116,0.00864,0.0736,0.66,96.1,238421,4,48,0
86,2003,A Perfect Circle,Thirteenth Step,0.765,0.397,9,-10.538,1,0.0359,0.00358,0.715,0.117,0.15,123.89,460493,4,52,0
87,2002,Maná,Revolución De Amor,0.773,0.794,5,-4.954,0,0.0326,0.527,0.000354,0.113,0.907,101.143,264600,4,63,0
88,2000,Lesley Gore,20th Century Masters: The Millennium Collection: Best Of Lesley Gore,0.683,0.71,9,-7.445,1,0.114,0.403,0,0.086,0.931,128.181,142333,4,37,0
89,2003,Skillet,Collide,0.508,0.92,5,-3.264,1,0.045,0.000589,2.71E-06,0.107,0.301,102.989,273627,4,47,0
90,2003,Tercer Cielo,Tercer Cielo,0.677,0.448,9,-9.788,1,0.072,0.389,0,0.124,0.629,73.983,248111,4,39,0
91,2003,Madlib,Shades Of Blue: Madlib Invades Blue Note,0.581,0.805,1,-9.275,1,0.0456,0.00319,0.622,0.199,0.718,161.299,456693,4,40,0
92,2003,Zoé,Rocanlover,0.692,0.512,6,-8.596,1,0.0354,0.208,0.000994,0.077,0.739,79.003,203627,4,63,0
93,2000,Donnie McClurkin,Live in London and More ..,0.565,0.709,1,-5.475,1,0.033,0.223,0,0.386,0.309,132.132,246533,4,39,0
94,2003,Silverstein,When Broken Is Easily Fixed,0.418,0.703,2,-6.555,0,0.0312,0.000797,0.000434,0.304,0.334,174.685,258787,4,34,0
95,2000,Christina Aguilera,My Kind Of Christmas,0.575,0.744,1,-5.466,1,0.0603,0.0687,0,0.0723,0.701,183.79,241507,4,61,0
96,2003,The Bad Plus,These Are The Vistas,0.635,0.584,10,-13.571,1,0.0363,0.326,0.817,0.058,0.609,137.959,244573,3,46,0
97,2003,TLC,Now & Forever - The Hits,0.799,0.642,8,-5.523,0,0.13,0.0463,0,0.0616,0.536,92.907,218027,4,49,0
98,2003,Killing Joke,Killing Joke,0.567,0.938,7,-6.28,1,0.0874,0.00157,0.00729,0.124,0.345,100.016,415160,4,49,0
99,2003,Reba McEntire,20th Century Masters: Christmas Collection: Reba McEntire,0.675,0.395,7,-12.072,1,0.0346,0.172,1.69E-06,0.125,0.6,135.012,221933,4,36,0
100,2003,The National,Sad Songs for Dirty Lovers,0.61,0.515,4,-8.882,1,0.0253,0.672,0.835,0.107,0.121,138.248,262160,4,37,0
101,2002,DJ Sammy,Heaven,0.568,0.866,6,-5.352,1,0.0275,0.0257,0.000137,0.202,0.56,144.961,295560,4,45,0
102,2002,William Byrd,"Byrd: The Masses for 3, 4 & 5 voices",0.194,0.091,3,-26.348,1,0.0362,0.986,6.31E-06,0.0753,0.0392,126.43,112933,4,39,0
103,2002,Trick Daddy,Thug Holiday (Explicit Version),0.974,0.586,0,-3.801,1,0.18,0.12,0,0.0585,0.689,113.998,260480,4,45,0
104,2002,Toby Keith,Unleashed,0.685,0.825,9,-5.178,1,0.0361,0.327,0.0185,0.0459,0.918,126.298,237627,4,44,0
105,2002,Bell Biv DeVoe,20th Century Masters: The Millennium Collection: Best of Bel Biv DeVoe,0.722,0.867,1,-3.323,1,0.0402,0.135,0,0.13,0.651,107.81,273667,4,31,0
106,2001,Eddy Herrera,Atrevido,0.78,0.872,6,-6.006,0,0.0419,0.407,2.76E-06,0.282,0.874,135.455,280920,4,48,0
107,2001,Los Bukis,Y Para Siempre ...,0.55,0.624,4,-12.906,1,0.102,0.157,0,0.421,0.45,161.009,211587,4,53,0
108,2002,Foo Fighters,One By One (Expanded Edition),0.393,0.985,2,-2.594,1,0.113,0.000196,0,0.153,0.309,157.958,270187,4,40,0
109,2000,Various Artists,Coyote Ugly,0.586,0.679,0,-6.697,1,0.043,0.654,0.000331,0.0743,0.608,79.921,201093,4,44,0
110,2002,Glassjaw,Worship And Tribute (U.S. Version),0.333,0.851,7,-5.293,1,0.0948,0.0101,0,0.277,0.44,108.25,303093,4,46,0
111,2002,Keith Urban,Golden Road,0.653,0.865,7,-6.395,1,0.0325,0.0075,1.18E-06,0.0629,0.828,116.966,227733,4,49,0
112,2001,Ja Rule,Pain Is Love,0.687,0.733,1,-6.406,1,0.226,0.0939,2.04E-06,0.0647,0.261,88.972,291333,4,36,0
113,2002,El Haragán y Compañía,"Rock Sin Visa, Vol. 2",0.569,0.912,7,-4.966,1,0.0539,0.00696,9.88E-05,0.167,0.839,143.322,187640,4,48,0
114,2003,Jae-P,Perdóname Amá,0.719,0.751,0,-6.61,0,0.0916,0.0598,0,0.141,0.843,96.03,240419,4,34,0
115,2003,The Ataris,"So Long, Astoria",0.43,0.854,10,-4.511,1,0.0417,0.0048,0,0.188,0.462,135.951,255373,4,38,0
116,2002,Anton Bruckner,Bruckner: Mass in E Minor & Motets,0.225,0.0385,0,-28.038,1,0.0484,0.976,0,0.0822,0.0344,66.23,183867,4,46,0
117,2003,Viktor Vaughn,Vaudeville Villain,0.694,0.771,8,-7.7,1,0.211,0.235,0,0.131,0.81,101.462,205733,4,36,0
118,2001,Sevendust,Animosity,0.444,0.977,7,-4.305,1,0.193,0.000494,4.80E-05,0.554,0.0646,107.657,253200,4,35,0
119,2002,David Guetta,Just A Little More Love,0.593,0.836,10,-4.774,0,0.0463,7.37E-05,0,0.117,0.406,127.087,216893,4,51,0
120,2003,Daft Punk,Daft Club,0.85,0.74,11,-6.327,0,0.0552,0.608,0.000782,0.302,0.907,123.451,312507,4,39,0
121,2003,Michael Jackson,Number Ones,0.775,0.852,11,-4.813,1,0.0526,0.0885,2.37E-05,0.823,0.84,118.561,311440,4,58,0
122,2003,The Mars Volta,Deloused in the Comatorium,0.424,0.532,11,-8.042,0,0.0384,0.452,1.20E-05,0.138,0.183,121.509,378764,3,44,0
123,2000,Godsmack,Awake,0.423,0.824,5,-6.727,1,0.0427,2.16E-05,0.582,0.419,0.105,125.541,358627,4,41,0
124,2000,Ruff Endz,Love Crimes,0.839,0.641,10,-5.669,0,0.0858,0.0324,4.56E-06,0.0602,0.927,97.004,242560,4,50,0
125,2002,The Decemberists,Castaways and Cutouts,0.634,0.306,2,-13.172,0,0.0321,0.852,0,0.0996,0.583,97.472,188880,4,35,0
126,2003,Black Label Society,The Blessed Hellride,0.598,0.877,1,-4.941,1,0.0425,6.21E-05,0.000329,0.371,0.44,107.034,195547,4,48,0
127,2002,Norman Brown,Just Chillin',0.574,0.53,7,-9.124,0,0.0685,0.588,3.41E-05,0.158,0.365,83.778,235347,4,35,0
128,2001,Nickelback,Silver Side Up,0.444,0.75,4,-4.809,1,0.0507,0.00129,1.30E-05,0.305,0.55,176.153,218000,4,41,0
129,2001,Bee Gees,The Record - Their Greatest Hits,0.605,0.701,7,-6.25,1,0.0359,0.142,9.71E-05,0.559,0.656,106.16,196067,4,42,0
130,2002,Bryan Adams,Spirit: Stallion Of The Cimarron,0.519,0.193,0,-19.11,1,0.0423,0.922,0.641,0.122,0.279,160.173,170507,3,41,0
131,2001,American Head Charge,The War Of Art,0.257,0.797,5,-6.398,1,0.0461,0.000709,0.00191,0.495,0.243,95.006,331600,3,42,0
132,2001,Tevin Campbell,The Best Of Tevin Campbell,0.713,0.677,6,-6.761,1,0.0253,0.0282,5.99E-05,0.144,0.522,124.152,338732,4,44,0
133,2001,India.Arie,Acoustic Soul,0.637,0.616,7,-6.37,1,0.108,0.0741,0.000146,0.0759,0.648,175.855,297800,4,41,0
134,2001,Mariah Carey,Greatest Hits,0.647,0.531,4,-8.332,1,0.0361,0.484,0,0.0958,0.487,78.949,257867,4,34,0
135,2001,Various Artists,Spongebob Squarepants - Original Theme Highlights,0.511,0.325,0,-8.003,1,0.0498,0.263,0,0.33,0.439,122.718,118080,4,32,0
136,2002,Johnny Rivera,Cuando Parará La Lluvia,0.758,0.656,10,-9.003,1,0.0367,0.722,1.94E-05,0.0773,0.892,157.574,286693,4,40,0
137,2002,Ms. Lauryn Hill,MTV Unplugged No. 2.0,0.491,0.562,0,-6.931,1,0.428,0.704,0,0.971,0.707,179.406,199133,4,36,0
138,2001,South Park Mexican,Never Change (Explicit),0.695,0.692,2,-5.611,0,0.0246,0.0696,1.86E-06,0.208,0.404,92.028,284440,4,52,0
139,2003,Black Label Society,The Blessed Hellride,0.598,0.877,1,-4.941,1,0.0425,6.21E-05,0.000329,0.371,0.44,107.034,195547,4,48,0
140,2003,The Darkness,Permission To Land,0.451,0.935,4,-3.475,1,0.0548,0.0204,8.31E-05,0.0996,0.415,126.993,176053,4,43,0
141,2002,Peaches,The Teaches Of Peaches,0.905,0.945,4,-2.63,1,0.137,0.0354,0.00529,0.0707,0.944,131.597,250693,4,51,0
142,2000,Eminem,The Marshall Mathers LP,0.73,0.923,2,-3.323,0,0.258,0.0191,0,0.3,0.659,80.06,254773,4,51,0
143,2003,Grupo Marrano,Episodio 1,0.75,0.625,10,-8.468,1,0.0405,0.304,2.47E-06,0.212,0.858,110.018,204307,3,54,0
144,2002,Queens of the Stone Age,Songs For The Deaf,0.416,0.823,0,-5.047,1,0.0879,0.196,0.424,0.157,0.145,100.818,402733,3,38,0
145,2002,Soundtrack,WWF Tough Enough 2 (clean),0.519,0.755,6,-7.226,1,0.0398,0.397,0,0.082,0.557,149.628,249533,4,33,0
146,2002,Zoot Sims,American Swinging In Paris,0.485,0.24,3,-11.239,0,0.0323,0.931,0.0461,0.129,0.54,64.519,202333,4,48,0
147,2003,Joe Budden,Joe Budden,0.56,0.765,8,-4.495,0,0.192,0.146,0,0.384,0.485,144.213,374653,4,37,0
148,2000,El Coyote Y Su Banda Tierra Santa,Te Soñé,0.634,0.449,0,-10.364,1,0.0353,0.425,0,0.0415,0.922,146.103,225573,4,41,0
149,2003,Fruit Bats,Mouthfuls,0.723,0.763,7,-6.366,1,0.0262,0.122,0.00543,0.343,0.586,120.962,271160,4,55,0
150,2000,Arthur Russell,Calling Out Of Context,0.812,0.49,7,-8.646,1,0.0574,0.365,0.0337,0.105,0.925,105.038,169733,4,41,0
151,2003,Staind,14 Shades Of Grey (US version),0.277,0.949,8,-2.596,1,0.171,0.000231,0,0.149,0.204,114.616,237667,4,38,0
152,2003,Stefanie Sun,未完成,0.439,0.521,3,-6.804,1,0.0352,0.268,0,0.362,0.128,127.957,320400,4,51,0
153,2001,Dead Kennedys,"Plastic Surgery Disasters/In God We Trust, Inc.",0.359,0.988,5,-5.431,0,0.216,0.00527,0,0.109,0.543,114.62,90302,4,37,0
154,2002,The Flaming Lips,Yoshimi Battles The Pink Robots (U.S. Version),0.538,0.823,2,-6.816,1,0.0382,0.247,0.68,0.0915,0.398,160.792,260240,4,38,0
155,2003,Various Artists,Ash Wednesday,0.492,0.776,9,-5.713,0,0.0403,0.00695,0.000104,0.205,0.759,118.235,237733,4,59,0
156,2003,Tego Calderon,El Abayarde,0.845,0.906,7,-3.804,1,0.0687,0.188,0.0512,0.0199,0.813,94.987,252693,4,48,0
157,2002,Alexi Murdoch,Four Songs,0.501,0.104,4,-25.111,1,0.0355,0.872,0.00298,0.116,0.302,154.798,257160,4,49,0
158,2000,OutKast,Stankonia,0.756,0.697,7,-7.104,1,0.242,0.0109,0,0.0459,0.446,96.681,237160,4,42,0
159,2003,Skillet,Collide,0.508,0.92,5,-3.264,1,0.045,0.000589,2.71E-06,0.107,0.301,102.989,273627,4,47,0
160,2002,South Border,Restrospective - A Collection of Their Greatest Hits,0.357,0.377,4,-9.152,0,0.0347,0.543,3.42E-05,0.0774,0.123,59.026,289400,4,41,0
161,2001,Leonard Cohen,Ten New Songs,0.713,0.205,5,-15.696,0,0.0439,0.323,0.00625,0.109,0.314,154.049,385333,4,48,0
162,2002,Good Charlotte,The Young and The Hopeless,0.62,0.93,1,-3.685,1,0.0374,0.00043,0,0.0686,0.609,106.22,190173,4,68,0
163,2002,Klaus Badelt,The Recruit (Original Motion Picture Soundtrack),0.227,0.0338,2,-28.544,1,0.043,0.991,0.895,0.0972,0.0696,118.428,152173,4,46,0
164,2000,Apocalyptica,Cult,0.233,0.609,7,-5.852,1,0.0438,0.000849,0.826,0.0874,0.28,96.808,209347,4,32,0
165,2000,R. Kelly,TP-2.com,0.694,0.502,8,-5.689,1,0.0373,0.323,0,0.221,0.41,77.122,274293,3,37,0
166,2001,Dilated Peoples,Expansion Team,0.801,0.732,8,-7.211,0,0.359,0.273,0,0.49,0.832,92.044,216000,4,53,0
167,2003,Nat King Cole,Love Songs,0.243,0.171,1,-17.543,1,0.037,0.814,0.00523,0.102,0.0897,126.599,191200,4,51,0
168,2002,Barry Manilow,Ultimate Manilow,0.325,0.421,10,-8.859,1,0.0278,0.373,1.03E-06,0.126,0.39,104.146,197733,4,49,0
169,2001,Ludacris,Word Of Mouf,0.833,0.689,11,-5.78,1,0.187,0.122,0,0.847,0.653,113.851,332120,4,43,0
170,2003,Gang Starr,The Ownerz,0.868,0.696,5,-4.634,0,0.233,0.0502,0,0.291,0.938,99.643,200933,4,46,0
171,2001,J-Live,The Best Part,0.563,0.861,11,-7.448,1,0.343,0.622,4.86E-06,0.553,0.798,94.984,312907,4,44,0
172,2003,William Basinski,Melancholia,0.153,0.0391,3,-32.652,1,0.0362,0.983,0.928,0.0774,0.0737,69.906,410987,5,49,0
173,2002,Oasis,Heathen Chemistry,0.403,0.648,2,-4.958,1,0.0274,0.0355,0.00481,0.116,0.145,145.716,292973,4,38,0
174,2003,Mormon Tabernacle Choir,Consider the Lilies,0.164,0.206,10,-21.148,1,0.0423,0.983,0.84,0.172,0.0537,129.878,331400,3,37,0
175,2003,DERYL DODD,Live at Billy Bob's Texas,0.629,0.63,2,-6.336,1,0.0388,0.0671,0,0.948,0.516,109.564,227320,4,45,0
176,2002,DJ Sammy,Heaven,0.501,0.189,2,-11.54,1,0.0374,0.967,0.000828,0.0717,0.381,124.189,242587,4,49,0
177,2002,El Coyote Y Su Banda Tierra Santa,Puras Rancheras,0.506,0.532,10,-4.205,1,0.0938,0.666,0,0.0559,0.966,180.161,206733,3,36,0
178,2001,Tha Eastsidaz,Snoop Dogg Presents Tha Eastsidaz,0.908,0.763,1,-5.739,1,0.28,0.0395,0,0.0646,0.593,97.106,273467,4,43,0
179,2000,Papa Roach,Infest,0.517,0.913,9,-4.582,0,0.0725,0.00199,2.62E-05,0.0525,0.714,93.648,248964,4,43,0
180,2002,Fito Olivares y Su Grupo,"Grandes Exitos ""Reinas Y Brujas""",0.467,0.619,5,-10.079,1,0.0359,0.763,0.00545,0.181,0.826,176.296,190800,4,47,0
181,2002,Selena,Ones,0.502,0.655,3,-8.983,1,0.0358,0.411,5.80E-06,0.0845,0.886,179.676,155373,4,47,0
182,2000,Coldplay,Parachutes,0.561,0.547,11,-7.496,0,0.0321,0.189,0.00157,0.17,0.19,139.755,273427,4,72,0
