	Year	Artist	Track	Danceability	Energy	Key	Loudness	Mode	Speechiness	Acousticness	Instrumentalness	Liveness	Valence	Tempo	Duration_ms	Time Signature
42	2018	Jordan Davis	Home State	0.491	0.907	7	-3.594	1	0.0481	0.0491	0.0	0.242	0.631	199.943	182667	4
43	2018	Lil Gnar	Drop Top Benz	0.837	0.577	1	-7.362	1	0.246	0.303	0.0	0.119	0.759	150.066	132124	4
44	2017	Khalid	American Teen	0.767	0.512	6	-6.777	1	0.0591	0.893	0.000223	0.103	0.489	123.921	207107	4
45	2017	Lil Peep	Absolute in Doubt	0.733	0.66	4	-6.87	0	0.0436	0.0219	0.0	0.151	0.259	138.034	227027	4
46	2011	DJ Khaled	We The Best Forever	0.508	0.809	11	-3.454	0	0.292	0.058	0.0	0.608	0.489	149.999	296147	4
47	2017	Bebe Rexha	All Your Fault: Pt. 2	0.643	0.783	10	-6.458	1	0.0856	0.047	0.0	0.083	0.579	154.084	163870	4
48	2018	Alessia Cara	Trust My Lonely	0.583	0.662	0	-6.025	1	0.156	0.00541	1.96e-06	0.284	0.636	150.305	199707	4
49	2018	Tee Grizzley	Still My Moment	0.83	0.594	10	-6.579	0	0.312	0.0614	0.0	0.1	0.194	139.954	169704	4
50	2017	J Balvin	Mi Gente (feat. Beyoncé)	0.749	0.717	11	-6.358	0	0.0797	0.0227	0.0	0.263	0.4	104.967	209733	4
51	2017	Oliver Francis	Essentials	0.631	0.67	3	-9.829	1	0.0622	0.0223	0.138	0.358	0.0611	144.983	185491	4
52	2016	Banda Sinaloense MS de Sergio Lizárraga	Que Bendición	0.751	0.525	10	-5.209	1	0.0311	0.285	1.43e-05	0.268	0.663	119.877	192973	4
53	2015	Brothers Osborne	Stay A Little Longer	0.555	0.89	6	-5.533	1	0.0309	0.0414	0.131	0.147	0.513	96.987	335267	4
54	2017	N.E.R.D	NO ONE EVER REALLY DIES	0.916	0.727	1	-6.556	1	0.0861	0.00214	0.000145	0.118	0.201	94.997	219707	4
55	2016	Blake Shelton	If I'm Honest	0.552	0.893	0	-4.593	1	0.0383	0.0158	0.0	0.105	0.777	163.948	189467	4
56	2017	Huncho Jack	Huncho Jack, Jack Huncho	0.811	0.65	2	-4.41	1	0.128	0.00125	0.0	0.102	0.179	146.028	190679	4
57	2016	Kungs	Layers	0.792	0.717	0	-4.759	0	0.0393	0.0927	3.59e-05	0.226	0.466	121.985	195547	4
58	2017	XXXTENTACION	Members Only, Vol. 3	0.717	0.608	0	-7.826	1	0.31	0.394	0.0	0.351	0.827	139.783	139254	4
59	2018	Kevin Gates	Chained To The City	0.706	0.783	2	-5.337	1	0.424	0.129	0.0	0.0952	0.513	130.195	205861	4
60	2014	Labrinth	Jealous	0.435	0.155	1	-8.948	1	0.046	0.873	0.0	0.107	0.0935	128.532	287693	3
61	2018	Hozier	Nina Cried Power - EP	0.387	0.278	7	-8.454	0	0.0318	0.464	0.00527	0.102	0.0632	153.426	300707	3
62	2018	Anderson .Paak	Oxnard	0.649	0.587	5	-10.5	0	0.316	0.0774	0.0	0.377	0.513	92.871	282987	4
63	2017	Brandon Lay	Speakers	0.603	0.625	6	-6.563	1	0.0258	0.302	0.0	0.141	0.651	96.02	192920	4
64	2016	Cuco	Wannabewithu	0.406	0.647	3	-10.453	1	0.0413	0.0427	0.193	0.1	0.344	180.044	456000	4
65	2018	Tory Lanez	LoVE me NOw	0.621	0.777	8	-4.75	0	0.151	0.244	0.0	0.449	0.526	138.007	278515	4
66	2018	Maluma	Mala Mía	0.749	0.752	6	-4.883	1	0.345	0.31	0.0	0.232	0.901	180.049	183753	4
67	2018	BTS	Love Yourself 結 'Answer'	0.723	0.906	1	-4.778	0	0.279	0.0907	0.0	0.0771	0.398	125.019	225221	4
68	2015	Future	DS2 (Deluxe)	0.813	0.453	1	-6.941	1	0.338	0.0933	0.0	0.14	0.191	161.997	208027	4
69	2017	Blake Shelton	Texoma Shore	0.628	0.708	11	-7.045	0	0.0287	0.309	1.32e-06	0.109	0.276	111.047	288573	4
70	2014	Beyoncé	BEYONCÉ [Platinum Edition]	0.747	0.705	9	-5.137	0	0.126	0.0128	0.0	0.126	0.56	136.024	213507	4
71	2017	Chris Stapleton	From A Room: Volume 1	0.607	0.575	8	-7.066	1	0.0252	0.133	2.52e-06	0.0566	0.504	78.341	180907	4
72	2018	Ozuna	Aura	0.653	0.859	0	-3.048	1	0.0449	0.212	0.0	0.111	0.705	174.037	218387	4
73	2015	Major Lazer	Peace Is The Mission	0.723	0.809	7	-3.081	0	0.0625	0.00346	0.00123	0.565	0.274	98.007	176561	4
74	2007	Metro Station	Metro Station	0.618	0.955	4	-3.836	1	0.0798	0.00221	3.09e-06	0.486	0.79	150.034	179947	4
75	2015	Harrison Storm	Sense of Home	0.565	0.207	3	-10.926	1	0.032	0.892	1.8e-06	0.102	0.0904	140.068	265840	4
76	2018	Pardison Fontaine	Backin' It Up (feat. Cardi B)	0.796	0.68	10	-4.853	0	0.353	0.0886	0.0	0.268	0.565	164.932	190466	4
77	2018	Ozuna	Aura	0.882	0.802	11	-4.298	0	0.048	0.194	1.62e-06	0.0737	0.67	97.018	193893	4
78	2016	Travis Scott	Birds In The Trap Sing McKnight	0.769	0.569	1	-5.591	0	0.0786	0.0737	0.0	0.0571	0.612	146.062	216946	4
79	2015	Rae Sremmurd	SremmLife	0.718	0.692	5	-5.06	0	0.148	0.275	0.0	0.118	0.721	142.992	206307	4
80	2018	Lil Yachty	Nuthin' 2 Prove	0.886	0.303	10	-11.199	1	0.792	0.521	0.0	0.169	0.322	127.981	168439	4
81	2018	Cardi B	Money	0.95	0.59	8	-6.508	0	0.29	0.00534	0.0	0.11	0.219	130.003	183527	4
82	2018	Logic	YSIV	0.682	0.881	10	-6.126	0	0.274	0.0964	0.0	0.727	0.273	175.978	266440	4
83	2016	Ulices Chaidez Y Sus Plebes	Andamos En El Ruedo	0.685	0.443	0	-7.463	1	0.0376	0.796	6.94e-06	0.115	0.703	136.958	194963	3
84	2017	Masego	Tadow	0.719	0.487	9	-6.21	0	0.0604	0.711	8.36e-05	0.0958	0.345	121.729	301639	4
85	2011	Dr. Dre	I Need A Doctor	0.591	0.934	3	-4.389	1	0.437	0.0996	1.81e-06	0.348	0.452	155.968	283733	4
86	2018	Machine Gun Kelly	BINGE	0.853	0.835	0	-4.662	1	0.274	0.215	3.72e-06	0.164	0.767	75.052	281587	4
87	2018	Ozuna	Aura	0.691	0.71	5	-5.144	1	0.334	0.254	0.0	0.108	0.726	192.046	200747	4
88	2016	Kevin Gates	Islah (Deluxe)	0.762	0.666	0	-6.055	1	0.0916	0.00427	0.0	0.127	0.278	118.97	232093	4
89	2014	Cyndi Lauper	She's So Unusual: A 30th Anniversary Celebration (Deluxe Edition)	0.724	0.436	0	-9.321	1	0.0282	0.576	1.19e-06	0.0908	0.324	130.439	243067	4
90	2008	Lady Gaga	The Fame	0.846	0.815	4	-4.512	1	0.0761	0.139	2.19e-06	0.131	0.831	118.999	237200	4
91	2018	Lady Gaga	A Star Is Born Soundtrack	0.406	0.359	7	-6.145	1	0.0293	0.685	3.67e-06	0.122	0.202	109.246	328893	4
92	2008	Panic! At The Disco	Pretty. Odd.	0.405	0.689	10	-5.75	1	0.0365	0.0843	0.0	0.207	0.397	155.189	191560	4
93	2017	Lee Brice	Lee Brice	0.498	0.408	6	-7.946	1	0.0331	0.644	0.0	0.0993	0.383	78.942	198973	4
94	2018	6LACK	Switch (DEVAULT Remix)	0.347	0.836	9	-6.144	0	0.363	0.0253	5.7e-05	0.305	0.137	86.397	229481	4
95	2016	Kiiara	low kii savage	0.6	0.412	8	-9.343	1	0.344	0.615	0.0025	0.134	0.408	113.049	225882	5
96	2005	Daniel Powter	Daniel Powter (U.S. Release)	0.599	0.785	3	-4.013	1	0.0309	0.448	0.00336	0.151	0.52	140.046	233640	4
97	2018	Imagine Dragons	Origins (Deluxe)	0.49	0.889	7	-5.179	1	0.17	0.00155	2.76e-06	0.162	0.383	166.779	201040	4
98	2017	Lil Peep	Come Over When You're Sober, Pt. 1	0.521	0.766	3	-4.693	1	0.0409	0.00835	0.0	0.155	0.196	74.987	154815	4
99	2018	Gucci Mane	I'm Not Goin' (feat. Kevin Gates)	0.835	0.527	2	-5.48	1	0.295	0.156	0.0	0.121	0.292	131.02	196087	4
100	2018	Dinah Jane	Bottled Up	0.843	0.58	2	-4.271	1	0.0591	0.107	1.84e-05	0.0645	0.638	98.023	199301	4
101	2014	Cyndi Lauper	She's So Unusual: A 30th Anniversary Celebration (Deluxe Edition)	0.724	0.436	0	-9.321	1	0.0282	0.576	1.19e-06	0.0908	0.324	130.439	243067	4
102	2015	The Weeknd	Beauty Behind The Madness	0.372	0.477	7	-9.838	0	0.0497	0.484	0.0	0.0844	0.254	101.097	348853	4
103	2009	The Temper Trap	Conditions	0.531	0.821	2	-6.812	1	0.0439	0.0701	0.171	0.124	0.34	129.139	230800	4
104	2016	BTS	The Most Beautiful Moment in Life: Young Forever	0.627	0.706	10	-3.201	0	0.0597	0.00227	0.0	0.122	0.536	99.93	203352	4
105	2017	A$AP Ferg	Still Striving	0.797	0.844	11	-5.482	1	0.275	0.0651	0.0	0.087	0.52	170.142	173600	4
106	2018	Future	Future & Juice WRLD Present... WRLD ON DRUGS	0.81	0.458	4	-7.495	0	0.105	0.266	0.0	0.174	0.493	125.049	271067	4
107	2018	KYLE	Light of Mine	0.689	0.584	1	-5.768	0	0.119	0.339	0.0	0.297	0.676	156.572	191680	4
108	2016	Post Malone	Stoney (Deluxe)	0.575	0.734	2	-4.949	1	0.057	0.0757	0.0	0.241	0.494	83.986	179827	4
109	2018	Rich The Kid	Mo Paper	0.848	0.731	6	-6.332	0	0.444	0.0432	0.0	0.1	0.701	164.974	183834	4
110	2008	Slipknot	All Hope Is Gone	0.576	0.989	2	-1.909	1	0.112	0.00252	0.0032	0.0243	0.352	135.093	283400	4
111	2008	Panic! At The Disco	Pretty. Odd.	0.405	0.689	10	-5.75	1	0.0365	0.0843	0.0	0.207	0.397	155.189	191560	4
112	2017	Maggie Rogers	Now That The Light Is Fading	0.837	0.312	0	-13.797	1	0.0702	0.313	0.0175	0.0923	0.145	104.008	189400	4
113	2017	Chris Janson	EVERYBODY	0.485	0.306	0	-8.431	1	0.0409	0.794	0.0	0.122	0.224	203.729	207267	4
114	2018	Shawn Mendes	Shawn Mendes	0.622	0.712	5	-7.321	1	0.066	0.0573	0.0	0.13	0.487	140.025	211360	4
115	2008	Kings of Leon	Only By The Night	0.542	0.905	9	-5.653	1	0.054	0.00172	0.0104	0.136	0.374	153.398	203347	4
116	2018	Keith Urban	Graffiti U	0.383	0.703	4	-6.988	1	0.228	0.216	5.47e-06	0.131	0.57	88.502	213939	4
117	2017	Joey Bada$$	ALL-AMERIKKKAN BADA$$	0.812	0.628	10	-6.164	0	0.0682	0.0634	0.0	0.254	0.485	123.004	207059	4
118	2018	George Ezra	Staying at Tamara's	0.672	0.735	5	-4.733	1	0.0457	0.286	0.0	0.242	0.754	115.741	201287	4
119	2018	Lil Baby	Drip Harder	0.757	0.69	1	-5.327	0	0.282	0.0716	0.0	0.192	0.914	132.064	194732	4
120	2010	Kanye West	My Beautiful Dark Twisted Fantasy	0.543	0.915	0	-4.746	0	0.113	0.0162	0.0	0.744	0.577	153.998	292093	4
121	2018	James Arthur	Empty Space	0.404	0.531	1	-4.328	1	0.103	0.215	0.0	0.0521	0.321	164.848	214227	4
122	2006	Snow Patrol	Eyes Open	0.563	0.592	9	-4.571	1	0.0276	0.209	5.08e-05	0.132	0.136	104.016	267933	4
123	2017	Halsey	hopeless fountain kingdom (Deluxe)	0.581	0.684	1	-4.962	0	0.0429	0.0179	1.93e-05	0.0849	0.0397	129.966	202439	4
124	2013	One Direction	Midnight Memories (Deluxe)	0.574	0.329	1	-6.829	1	0.0274	0.22	0.0	0.0986	0.356	130.993	237933	4
125	2018	Ciara	Level Up	0.746	0.825	1	-4.666	1	0.169	0.0142	0.0107	0.121	0.584	152.914	204150	4
126	2018	Ozuna	Aura	0.691	0.71	5	-5.144	1	0.334	0.254	0.0	0.108	0.726	192.046	200747	4
127	2014	J. Cole	2014 Forest Hills Drive	0.696	0.521	10	-8.465	0	0.332	0.302	0.0	0.0565	0.458	100.0	292987	4
128	2016	Kevin Gates	Islah (Deluxe)	0.895	0.681	7	-5.267	0	0.358	0.157	0.0	0.189	0.554	121.918	240000	4
129	2018	Lady Gaga	A Star Is Born Soundtrack	0.553	0.502	0	-5.972	1	0.0409	0.299	0.0	0.764	0.296	129.976	210200	4
130	2017	NF	Perception	0.725	0.659	9	-4.537	1	0.246	0.139	0.0	0.106	0.56	160.062	181867	4
131	2018	Michael Bublé	love (Deluxe Edition)	0.224	0.3	2	-7.095	1	0.0334	0.804	0.00102	0.339	0.213	129.544	185601	4
132	2014	Hozier	Hozier (Bonus Tracks Version)	0.555	0.727	6	-4.202	1	0.0388	0.0579	7.52e-06	0.0937	0.739	82.142	223120	4
133	2018	Lauv	I met you when I was 18. (the playlist)	0.47	0.221	5	-9.243	1	0.0371	0.693	0.0	0.104	0.264	133.714	208000	4
134	2016	Skillet	Unleashed	0.603	0.886	5	-3.777	0	0.0837	0.00045	0.0	0.26	0.395	126.025	229933	4
135	2017	Ed Sheeran	÷ (Deluxe)	0.747	0.76	1	-4.294	1	0.187	0.448	0.0	0.153	0.682	99.975	191147	4
136	2010	Two Door Cinema Club	Tourist History	0.556	0.763	6	-3.952	0	0.0413	0.000728	6.79e-06	0.071	0.814	138.986	191400	4
137	2005	Fall Out Boy	From Under The Cork Tree	0.616	0.961	11	-3.144	0	0.139	0.00494	0.0	0.078	0.523	114.492	180267	4
138	2018	Mac Miller	Swimming	0.622	0.229	1	-11.322	1	0.0445	0.768	0.00906	0.134	0.0998	81.87	237093	4
139	2018	Lil Peep	Come Over When You're Sober, Pt. 2	0.607	0.45	0	-8.507	1	0.0338	0.0663	1.12e-05	0.107	0.121	105.992	244907	4
140	2018	Tyla Yaweh	She Bad	0.679	0.526	4	-7.641	0	0.172	0.197	0.0	0.0792	0.231	105.133	221714	4
141	2017	Lil Peep	Come Over When You're Sober, Pt. 1	0.521	0.766	3	-4.693	1	0.0409	0.00835	0.0	0.155	0.196	74.987	154815	4
142	2018	Filmore	Slower	0.687	0.75	11	-4.537	1	0.0965	0.107	3.05e-06	0.161	0.911	98.987	172534	4
143	2018	Lil Peep	Come Over When You're Sober, Pt. 2	0.669	0.574	4	-6.442	0	0.0286	0.0175	0.00294	0.146	0.273	120.013	196400	4
144	2016	Chance the Rapper	Coloring Book	0.771	0.647	5	-5.127	0	0.376	0.294	0.0	0.37	0.678	155.914	206240	4
145	2011	Rihanna	Talk That Talk	0.734	0.766	1	-4.485	1	0.0383	0.025	0.00138	0.108	0.6	127.986	215227	4
146	2016	Various Artists	Moana (Original Motion Picture Soundtrack/Deluxe Edition)	0.317	0.562	9	-9.609	1	0.395	0.124	0.000144	0.0667	0.132	181.1	175507	4
147	2018	Takeoff	The Last Rocket	0.841	0.601	1	-7.226	0	0.131	0.111	0.0	0.0854	0.219	154.013	179573	4
148	2016	Shakey Graves	Tomorrow	0.564	0.354	7	-10.85	1	0.0334	0.73	3.43e-06	0.208	0.423	98.075	240587	3
149	2018	Vince Staples	FM!	0.953	0.554	0	-5.12	1	0.076	0.616	0.000869	0.106	0.457	101.011	171107	4
150	2017	6 Dogs	6 Dogs	0.748	0.66	6	-4.704	1	0.0487	0.224	0.053	0.101	0.328	137.033	171907	4
151	2015	Roy Woods	Exis	0.709	0.362	11	-9.814	1	0.055	0.157	0.0	0.109	0.113	122.043	251860	4
152	2016	Lil Uzi Vert	Lil Uzi Vert Vs. The World	0.795	0.568	5	-7.817	0	0.142	0.0541	0.0	0.108	0.478	136.173	198944	4
153	2016	Rae Sremmurd	SremmLife 2 (Deluxe)	0.794	0.632	0	-6.163	1	0.0649	0.142	0.0	0.128	0.355	145.926	291893	4
154	2003	Fountains Of Wayne	Welcome Interstate Managers	0.774	0.75	11	-4.927	0	0.0413	0.0021	1.85e-05	0.0808	0.925	118.015	197987	4
155	2014	Birdy	Not About Angels	0.405	0.111	0	-11.879	1	0.0369	0.964	4.37e-05	0.0872	0.219	116.86	189475	4
156	2018	LANY	Malibu Nights	0.635	0.679	1	-7.374	1	0.0861	0.0375	0.0	0.0954	0.239	117.867	182901	4
157	2017	Weather Factory	Rain & Thunder	0.142	0.91	5	-20.77	0	0.115	0.0469	0.957	0.509	0.0135	65.291	150444	3
158	2018	Martin Garrix	Dreamer	0.532	0.639	5	-7.419	0	0.0388	0.0507	0.00131	0.106	0.198	105.0	193399	4
159	2017	Niall Horan	Flicker (Deluxe)	0.509	0.538	0	-6.456	1	0.0397	0.381	0.0	0.13	0.178	153.711	223044	4
160	2017	Various Artists	Shut Up Lets Dance	0.665	0.779	2	-5.153	1	0.113	0.216	0.0	0.107	0.839	88.863	228200	4
161	2008	Coldplay	Viva La Vida Or Death And All His Friends	0.485	0.619	5	-7.115	0	0.0289	0.0941	3.31e-06	0.109	0.416	138.017	242373	4
162	2018	Tyler, The Creator	Music Inspired by Illumination & Dr. Seuss' The Grinch	0.795	0.548	3	-8.072	1	0.199	0.163	0.0	0.0838	0.725	112.342	149200	4
163	2016	Logic	Bobby Tarantino	0.708	0.612	6	-8.939	0	0.302	0.363	0.0	0.204	0.341	94.274	182267	4
164	2018	Zion & Lennox	Hola	0.81	0.789	1	-5.048	1	0.04	0.069	0.00103	0.0638	0.856	94.025	220538	4
165	2015	The Weeknd	Beauty Behind The Madness	0.505	0.68	7	-4.99	1	0.0713	0.0796	0.0	0.0465	0.539	168.021	235653	3
166	2010	Waka Flocka Flame	Flockaveli	0.76	0.595	1	-6.366	1	0.0391	0.00544	0.0	0.241	0.361	131.497	263773	4
167	2014	Sam Hunt	Montevallo	0.558	0.719	11	-5.603	1	0.0419	0.101	0.0	0.212	0.483	158.031	243707	4
168	2018	Ozuna	Aura	0.637	0.868	9	-3.19	0	0.0571	0.121	0.0	0.533	0.682	174.105	216293	4
169	2017	Camila Cabello	I Have Questions	0.393	0.555	10	-6.096	0	0.276	0.405	0.0	0.105	0.22	167.999	221881	4
170	2017	Becky G	Mayores	0.743	0.855	5	-3.976	0	0.0436	0.141	0.0045	0.099	0.871	96.989	202453	4
171	2018	Normani	Normani x Calvin Harris	0.89	0.624	1	-3.966	1	0.103	0.0944	5.16e-06	0.0903	0.762	116.046	169814	4
172	2018	Ozuna	Aura	0.653	0.859	0	-3.048	1	0.0449	0.212	0.0	0.111	0.705	174.037	218387	4
173	2018	Pusha T	DAYTONA	0.46	0.697	6	-5.954	0	0.325	0.0186	0.0	0.362	0.701	153.426	202120	4
174	2002	Trapt	Trapt	0.492	0.896	4	-5.819	0	0.117	0.000172	2.78e-06	0.189	0.534	184.981	285570	4
175	2006	Three Days Grace	One-X	0.416	0.741	7	-4.001	1	0.0335	0.00804	0.0	0.273	0.286	160.515	202973	4
176	2017	XXXTENTACION	Revenge	0.448	0.541	4	-11.34	0	0.397	0.47	0.0	0.1	0.237	81.92	209099	4
177	2018	Lady Gaga	A Star Is Born Soundtrack	0.406	0.359	7	-6.145	1	0.0293	0.685	3.67e-06	0.122	0.202	109.246	328893	4
178	2018	6ix9ine	BEBE	0.635	0.902	0	-3.559	1	0.109	0.172	0.0	0.125	0.286	102.063	217822	4
179	2014	Hozier	Hozier (Bonus Tracks Version)	0.539	0.179	7	-14.33	1	0.0309	0.921	0.393	0.106	0.145	140.01	198027	3
180	2018	Gunna	Drip Season 3	0.906	0.395	1	-11.277	1	0.206	0.0103	0.000195	0.117	0.376	146.056	197420	4
181	2002	Justin Timberlake	Justified	0.624	0.653	8	-6.582	0	0.176	0.575	0.0	0.104	0.565	73.884	288333	4
182	2015	Kendrick Lamar	To Pimp A Butterfly	0.796	0.766	7	-5.974	1	0.238	0.0742	0.0	0.0827	0.558	110.034	219333	4
183	2016	Nebu Kiniza	Gassed Up	0.798	0.568	5	-9.072	0	0.135	0.0213	0.0	0.0586	0.45	148.88	193911	3
184	2018	Lil Yachty	Nuthin' 2 Prove	0.902	0.753	7	-3.955	1	0.296	0.105	0.0	0.159	0.545	140.018	198855	4
185	2017	Billie Eilish	dont smile at me	0.692	0.394	11	-8.745	0	0.207	0.472	0.000191	0.117	0.324	89.936	170852	4
186	2018	Olivia O'Brien	RIP (feat. G-Eazy & Drew Love)	0.728	0.646	5	-4.387	0	0.0463	0.422	0.0	0.0899	0.46	103.983	200773	4
187	2016	Ab-Soul	Do What Thou Wilt.	0.744	0.637	1	-7.297	0	0.301	0.249	0.0	0.0965	0.697	139.882	329208	4
188	2015	Twenty One Pilots	Blurryface	0.655	0.632	2	-4.802	1	0.0489	0.0189	0.0	0.0722	0.447	120.113	188493	4
189	2017	Ansel Elgort	All I Think About Is You	0.287	0.759	1	-4.666	1	0.149	0.0734	0.0	0.11	0.481	195.708	188187	4
190	2018	Ozuna	Aura	0.574	0.734	1	-2.697	1	0.0728	0.241	0.00806	0.0961	0.769	98.023	255507	4
191	2017	Logic	Everybody	0.885	0.94	1	-5.908	1	0.0909	0.158	0.0	0.0675	0.77	110.005	162347	4
192	2018	Luke Combs	This One's for You Too (Deluxe Edition)	0.533	0.907	11	-3.793	1	0.0406	0.0292	0.0	0.386	0.7	150.99	183160	4
193	2018	Little Mix	LM5 (Deluxe)	0.477	0.791	8	-3.331	1	0.12	0.0709	0.0	0.112	0.603	175.869	235147	4
194	2018	Mustard	Dangerous World (feat. Travis Scott & YG)	0.812	0.586	4	-6.505	0	0.0654	0.0735	0.0	0.106	0.323	100.062	165123	4
195	2000	Shaggy	Hot Shot	0.852	0.616	0	-4.728	1	0.0747	0.045	0.0	0.321	0.685	94.758	227600	4
