	Year	Artist	Track	Danceability	Energy	Key	Loudness	Mode	Speechiness	Acousticness	Instrumentalness	Liveness	Valence	Tempo	Song Popularity	Duration_ms	Time Signature
86	2003	A Perfect Circle	Thirteenth Step	0.765	0.397	9	-10.538	1	0.0359	0.00358	0.715	0.117	0.15	123.89	52	460493	4
87	2002	Maná	Revolución De Amor	0.773	0.794	5	-4.954	0	0.0326	0.527	0.000354	0.113	0.907	101.143	63	264600	4
88	2000	Lesley Gore	20th Century Masters: The Millennium Collection: Best Of Lesley Gore	0.683	0.71	9	-7.445	1	0.114	0.403	0.0	0.086	0.931	128.181	37	142333	4
89	2003	Skillet	Collide	0.508	0.92	5	-3.264	1	0.045	0.000589	2.71e-06	0.107	0.301	102.989	47	273627	4
90	2003	Tercer Cielo	Tercer Cielo	0.677	0.448	9	-9.788	1	0.072	0.389	0.0	0.124	0.629	73.983	39	248111	4
91	2003	Madlib	Shades Of Blue: Madlib Invades Blue Note	0.581	0.805	1	-9.275	1	0.0456	0.00319	0.622	0.199	0.718	161.299	40	456693	4
92	2003	Zoé	Rocanlover	0.692	0.512	6	-8.596	1	0.0354	0.208	0.000994	0.077	0.739	79.003	63	203627	4
93	2000	Donnie McClurkin	Live in London and More ..	0.565	0.709	1	-5.475	1	0.033	0.223	0.0	0.386	0.309	132.132	39	246533	4
94	2003	Silverstein	When Broken Is Easily Fixed	0.418	0.703	2	-6.555	0	0.0312	0.000797	0.000434	0.304	0.334	174.685	34	258787	4
95	2000	Christina Aguilera	My Kind Of Christmas	0.575	0.744	1	-5.466	1	0.0603	0.0687	0.0	0.0723	0.701	183.79	61	241507	4
96	2003	The Bad Plus	These Are The Vistas	0.635	0.584	10	-13.571	1	0.0363	0.326	0.817	0.058	0.609	137.959	46	244573	3
97	2003	TLC	Now & Forever - The Hits	0.799	0.642	8	-5.523	0	0.13	0.0463	0.0	0.0616	0.536	92.907	49	218027	4
98	2003	Killing Joke	Killing Joke	0.567	0.938	7	-6.28	1	0.0874	0.00157	0.00729	0.124	0.345	100.016	49	415160	4
99	2003	Reba McEntire	20th Century Masters: Christmas Collection: Reba McEntire	0.675	0.395	7	-12.072	1	0.0346	0.172	1.69e-06	0.125	0.6	135.012	36	221933	4
100	2003	The National	Sad Songs for Dirty Lovers	0.61	0.515	4	-8.882	1	0.0253	0.672	0.835	0.107	0.121	138.248	37	262160	4
101	2002	DJ Sammy	Heaven	0.568	0.866	6	-5.352	1	0.0275	0.0257	0.000137	0.202	0.56	144.961	45	295560	4
102	2002	William Byrd	Byrd: The Masses for 3, 4 & 5 voices	0.194	0.091	3	-26.348	1	0.0362	0.986	6.31e-06	0.0753	0.0392	126.43	39	112933	4
103	2002	Trick Daddy	Thug Holiday (Explicit Version)	0.974	0.586	0	-3.801	1	0.18	0.12	0.0	0.0585	0.689	113.998	45	260480	4
104	2002	Toby Keith	Unleashed	0.685	0.825	9	-5.178	1	0.0361	0.327	0.0185	0.0459	0.918	126.298	44	237627	4
105	2002	Bell Biv DeVoe	20th Century Masters: The Millennium Collection: Best of Bel Biv DeVoe	0.722	0.867	1	-3.323	1	0.0402	0.135	0.0	0.13	0.651	107.81	31	273667	4
106	2001	Eddy Herrera	Atrevido	0.78	0.872	6	-6.006	0	0.0419	0.407	2.76e-06	0.282	0.874	135.455	48	280920	4
107	2001	Los Bukis	Y Para Siempre ...	0.55	0.624	4	-12.906	1	0.102	0.157	0.0	0.421	0.45	161.009	53	211587	4
108	2002	Foo Fighters	One By One (Expanded Edition)	0.393	0.985	2	-2.594	1	0.113	0.000196	0.0	0.153	0.309	157.958	40	270187	4
109	2000	Various Artists	Coyote Ugly	0.586	0.679	0	-6.697	1	0.043	0.654	0.000331	0.0743	0.608	79.921	44	201093	4
110	2002	Glassjaw	Worship And Tribute (U.S. Version)	0.333	0.851	7	-5.293	1	0.0948	0.0101	0.0	0.277	0.44	108.25	46	303093	4
111	2002	Keith Urban	Golden Road	0.653	0.865	7	-6.395	1	0.0325	0.0075	1.18e-06	0.0629	0.828	116.966	49	227733	4
112	2001	Ja Rule	Pain Is Love	0.687	0.733	1	-6.406	1	0.226	0.0939	2.04e-06	0.0647	0.261	88.972	36	291333	4
113	2002	El Haragán y Compañía	Rock Sin Visa, Vol. 2	0.569	0.912	7	-4.966	1	0.0539	0.00696	9.88e-05	0.167	0.839	143.322	48	187640	4
114	2003	Jae-P	Perdóname Amá	0.719	0.751	0	-6.61	0	0.0916	0.0598	0.0	0.141	0.843	96.03	34	240419	4
115	2003	The Ataris	So Long, Astoria	0.43	0.854	10	-4.511	1	0.0417	0.0048	0.0	0.188	0.462	135.951	38	255373	4
116	2002	Anton Bruckner	Bruckner: Mass in E Minor & Motets	0.225	0.0385	0	-28.038	1	0.0484	0.976	0.0	0.0822	0.0344	66.23	46	183867	4
117	2003	Viktor Vaughn	Vaudeville Villain	0.694	0.771	8	-7.7	1	0.211	0.235	0.0	0.131	0.81	101.462	36	205733	4
118	2001	Sevendust	Animosity	0.444	0.977	7	-4.305	1	0.193	0.000494	4.8e-05	0.554	0.0646	107.657	35	253200	4
119	2002	David Guetta	Just A Little More Love	0.593	0.836	10	-4.774	0	0.0463	7.37e-05	0.0	0.117	0.406	127.087	51	216893	4
120	2003	Daft Punk	Daft Club	0.85	0.74	11	-6.327	0	0.0552	0.608	0.000782	0.302	0.907	123.451	39	312507	4
121	2003	Michael Jackson	Number Ones	0.775	0.852	11	-4.813	1	0.0526	0.0885	2.37e-05	0.823	0.84	118.561	58	311440	4
122	2003	The Mars Volta	Deloused in the Comatorium	0.424	0.532	11	-8.042	0	0.0384	0.452	1.2e-05	0.138	0.183	121.509	44	378764	3
123	2000	Godsmack	Awake	0.423	0.824	5	-6.727	1	0.0427	2.16e-05	0.582	0.419	0.105	125.541	41	358627	4
124	2000	Ruff Endz	Love Crimes	0.839	0.641	10	-5.669	0	0.0858	0.0324	4.56e-06	0.0602	0.927	97.004	50	242560	4
125	2002	The Decemberists	Castaways and Cutouts	0.634	0.306	2	-13.172	0	0.0321	0.852	0.0	0.0996	0.583	97.472	35	188880	4
126	2003	Black Label Society	The Blessed Hellride	0.598	0.877	1	-4.941	1	0.0425	6.21e-05	0.000329	0.371	0.44	107.034	48	195547	4
127	2002	Norman Brown	Just Chillin'	0.574	0.53	7	-9.124	0	0.0685	0.588	3.41e-05	0.158	0.365	83.778	35	235347	4
128	2001	Nickelback	Silver Side Up	0.444	0.75	4	-4.809	1	0.0507	0.00129	1.3e-05	0.305	0.55	176.153	41	218000	4
129	2001	Bee Gees	The Record - Their Greatest Hits	0.605	0.701	7	-6.25	1	0.0359	0.142	9.71e-05	0.559	0.656	106.16	42	196067	4
130	2002	Bryan Adams	Spirit: Stallion Of The Cimarron	0.519	0.193	0	-19.11	1	0.0423	0.922	0.641	0.122	0.279	160.173	41	170507	3
131	2001	American Head Charge	The War Of Art	0.257	0.797	5	-6.398	1	0.0461	0.000709	0.00191	0.495	0.243	95.006	42	331600	3
132	2001	Tevin Campbell	The Best Of Tevin Campbell	0.713	0.677	6	-6.761	1	0.0253	0.0282	5.99e-05	0.144	0.522	124.152	44	338732	4
133	2001	India.Arie	Acoustic Soul	0.637	0.616	7	-6.37	1	0.108	0.0741	0.000146	0.0759	0.648	175.855	41	297800	4
134	2001	Mariah Carey	Greatest Hits	0.647	0.531	4	-8.332	1	0.0361	0.484	0.0	0.0958	0.487	78.949	34	257867	4
135	2001	Various Artists	Spongebob Squarepants - Original Theme Highlights	0.511	0.325	0	-8.003	1	0.0498	0.263	0.0	0.33	0.439	122.718	32	118080	4
136	2002	Johnny Rivera	Cuando Parará La Lluvia	0.758	0.656	10	-9.003	1	0.0367	0.722	1.94e-05	0.0773	0.892	157.574	40	286693	4
137	2002	Ms. Lauryn Hill	MTV Unplugged No. 2.0	0.491	0.562	0	-6.931	1	0.428	0.704	0.0	0.971	0.707	179.406	36	199133	4
138	2001	South Park Mexican	Never Change (Explicit)	0.695	0.692	2	-5.611	0	0.0246	0.0696	1.86e-06	0.208	0.404	92.028	52	284440	4
139	2003	Black Label Society	The Blessed Hellride	0.598	0.877	1	-4.941	1	0.0425	6.21e-05	0.000329	0.371	0.44	107.034	48	195547	4
140	2003	The Darkness	Permission To Land	0.451	0.935	4	-3.475	1	0.0548	0.0204	8.31e-05	0.0996	0.415	126.993	43	176053	4
141	2002	Peaches	The Teaches Of Peaches	0.905	0.945	4	-2.63	1	0.137	0.0354	0.00529	0.0707	0.944	131.597	51	250693	4
142	2000	Eminem	The Marshall Mathers LP	0.73	0.923	2	-3.323	0	0.258	0.0191	0.0	0.3	0.659	80.06	51	254773	4
143	2003	Grupo Marrano	Episodio 1	0.75	0.625	10	-8.468	1	0.0405	0.304	2.47e-06	0.212	0.858	110.018	54	204307	3
144	2002	Queens of the Stone Age	Songs For The Deaf	0.416	0.823	0	-5.047	1	0.0879	0.196	0.424	0.157	0.145	100.818	38	402733	3
145	2002	Soundtrack	WWF Tough Enough 2 (clean)	0.519	0.755	6	-7.226	1	0.0398	0.397	0.0	0.082	0.557	149.628	33	249533	4
146	2002	Zoot Sims	American Swinging In Paris	0.485	0.24	3	-11.239	0	0.0323	0.931	0.0461	0.129	0.54	64.519	48	202333	4
147	2003	Joe Budden	Joe Budden	0.56	0.765	8	-4.495	0	0.192	0.146	0.0	0.384	0.485	144.213	37	374653	4
148	2000	El Coyote Y Su Banda Tierra Santa	Te Soñé	0.634	0.449	0	-10.364	1	0.0353	0.425	0.0	0.0415	0.922	146.103	41	225573	4
149	2003	Fruit Bats	Mouthfuls	0.723	0.763	7	-6.366	1	0.0262	0.122	0.00543	0.343	0.586	120.962	55	271160	4
150	2000	Arthur Russell	Calling Out Of Context	0.812	0.49	7	-8.646	1	0.0574	0.365	0.0337	0.105	0.925	105.038	41	169733	4
151	2003	Staind	14 Shades Of Grey (US version)	0.277	0.949	8	-2.596	1	0.171	0.000231	0.0	0.149	0.204	114.616	38	237667	4
152	2003	Stefanie Sun	未完成	0.439	0.521	3	-6.804	1	0.0352	0.268	0.0	0.362	0.128	127.957	51	320400	4
153	2001	Dead Kennedys	Plastic Surgery Disasters/In God We Trust, Inc.	0.359	0.988	5	-5.431	0	0.216	0.00527	0.0	0.109	0.543	114.62	37	90302	4
154	2002	The Flaming Lips	Yoshimi Battles The Pink Robots (U.S. Version)	0.538	0.823	2	-6.816	1	0.0382	0.247	0.68	0.0915	0.398	160.792	38	260240	4
155	2003	Various Artists	Ash Wednesday	0.492	0.776	9	-5.713	0	0.0403	0.00695	0.000104	0.205	0.759	118.235	59	237733	4
156	2003	Tego Calderon	El Abayarde	0.845	0.906	7	-3.804	1	0.0687	0.188	0.0512	0.0199	0.813	94.987	48	252693	4
157	2002	Alexi Murdoch	Four Songs	0.501	0.104	4	-25.111	1	0.0355	0.872	0.00298	0.116	0.302	154.798	49	257160	4
158	2000	OutKast	Stankonia	0.756	0.697	7	-7.104	1	0.242	0.0109	0.0	0.0459	0.446	96.681	42	237160	4
159	2003	Skillet	Collide	0.508	0.92	5	-3.264	1	0.045	0.000589	2.71e-06	0.107	0.301	102.989	47	273627	4
160	2002	South Border	Restrospective - A Collection of Their Greatest Hits	0.357	0.377	4	-9.152	0	0.0347	0.543	3.42e-05	0.0774	0.123	59.026	41	289400	4
161	2001	Leonard Cohen	Ten New Songs	0.713	0.205	5	-15.696	0	0.0439	0.323	0.00625	0.109	0.314	154.049	48	385333	4
162	2002	Good Charlotte	The Young and The Hopeless	0.62	0.93	1	-3.685	1	0.0374	0.00043	0.0	0.0686	0.609	106.22	68	190173	4
163	2002	Klaus Badelt	The Recruit (Original Motion Picture Soundtrack)	0.227	0.0338	2	-28.544	1	0.043	0.991	0.895	0.0972	0.0696	118.428	46	152173	4
164	2000	Apocalyptica	Cult	0.233	0.609	7	-5.852	1	0.0438	0.000849	0.826	0.0874	0.28	96.808	32	209347	4
165	2000	R. Kelly	TP-2.com	0.694	0.502	8	-5.689	1	0.0373	0.323	0.0	0.221	0.41	77.122	37	274293	3
166	2001	Dilated Peoples	Expansion Team	0.801	0.732	8	-7.211	0	0.359	0.273	0.0	0.49	0.832	92.044	53	216000	4
167	2003	Nat King Cole	Love Songs	0.243	0.171	1	-17.543	1	0.037	0.814	0.00523	0.102	0.0897	126.599	51	191200	4
168	2002	Barry Manilow	Ultimate Manilow	0.325	0.421	10	-8.859	1	0.0278	0.373	1.03e-06	0.126	0.39	104.146	49	197733	4
169	2001	Ludacris	Word Of Mouf	0.833	0.689	11	-5.78	1	0.187	0.122	0.0	0.847	0.653	113.851	43	332120	4
170	2003	Gang Starr	The Ownerz	0.868	0.696	5	-4.634	0	0.233	0.0502	0.0	0.291	0.938	99.643	46	200933	4
171	2001	J-Live	The Best Part	0.563	0.861	11	-7.448	1	0.343	0.622	4.86e-06	0.553	0.798	94.984	44	312907	4
172	2003	William Basinski	Melancholia	0.153	0.0391	3	-32.652	1	0.0362	0.983	0.928	0.0774	0.0737	69.906	49	410987	5
173	2002	Oasis	Heathen Chemistry	0.403	0.648	2	-4.958	1	0.0274	0.0355	0.00481	0.116	0.145	145.716	38	292973	4
174	2003	Mormon Tabernacle Choir	Consider the Lilies	0.164	0.206	10	-21.148	1	0.0423	0.983	0.84	0.172	0.0537	129.878	37	331400	3
175	2003	DERYL DODD	Live at Billy Bob's Texas	0.629	0.63	2	-6.336	1	0.0388	0.0671	0.0	0.948	0.516	109.564	45	227320	4
176	2002	DJ Sammy	Heaven	0.501	0.189	2	-11.54	1	0.0374	0.967	0.000828	0.0717	0.381	124.189	49	242587	4
177	2002	El Coyote Y Su Banda Tierra Santa	Puras Rancheras	0.506	0.532	10	-4.205	1	0.0938	0.666	0.0	0.0559	0.966	180.161	36	206733	3
178	2001	Tha Eastsidaz	Snoop Dogg Presents Tha Eastsidaz	0.908	0.763	1	-5.739	1	0.28	0.0395	0.0	0.0646	0.593	97.106	43	273467	4
179	2000	Papa Roach	Infest	0.517	0.913	9	-4.582	0	0.0725	0.00199	2.62e-05	0.0525	0.714	93.648	43	248964	4
180	2002	Fito Olivares y Su Grupo	"Grandes Exitos ""Reinas Y Brujas"""	0.467	0.619	5	-10.079	1	0.0359	0.763	0.00545	0.181	0.826	176.296	47	190800	4
181	2002	Selena	Ones	0.502	0.655	3	-8.983	1	0.0358	0.411	5.8e-06	0.0845	0.886	179.676	47	155373	4
182	2000	Coldplay	Parachutes	0.561	0.547	11	-7.496	0	0.0321	0.189	0.00157	0.17	0.19	139.755	72	273427	4
183	2002	Beto Y Sus Canarios	Mi Despedida	0.723	0.552	5	-8.084	1	0.0556	0.52	6.4e-05	0.418	0.964	119.034	40	169907	4
184	2000	Papa Roach	Infest	0.581	0.887	4	-3.659	0	0.0624	0.000504	0.00111	0.268	0.724	90.578	79	199893	4
185	2001	The Crystal Method	Tweekend	0.535	0.928	10	-4.124	0	0.0537	0.000111	0.765	0.111	0.649	181.98	40	255093	4
